country,year,gdp_billions,unemployment_rate,inflation_rate
Nigeria,2016,404.65,4.5,15.7
Nigeria,2017,375.75,4.83,16.5
Nigeria,2018,421.74,5.07,12.1
Nigeria,2019,668.22,5.21,11.4
Nigeria,2020,598.59,5.71,13.25
Nigeria,2021,609.15,5.4,16.95
Nigeria,2022,646.95,3.83,18.85
Nigeria,2023,487.39,3.07,24.66
Nigeria,2024,252.26,3.04,33.24
Nigeria,2025,,3.06,
United Kingdom,2016,2706.81,4.91,1.01
United Kingdom,2017,2699.12,4.5,2.56
United Kingdom,2018,2897.03,4.14,2.29
United Kingdom,2019,2875.71,3.66,1.74
United Kingdom,2020,2724.0,4.47,0.99
United Kingdom,2021,3194.56,4.86,2.52
United Kingdom,2022,3181.24,3.77,7.92
United Kingdom,2023,3420.8,4.03,6.79
United Kingdom,2024,3686.03,4.36,3.27
United Kingdom,2025,,4.75,
